""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.00464191624290834,0.00235050403178225,-1.97485993648292,0.0482840450104185
"omega",-0.252340913492376,0.205426985999463,-1.22837275864543,0.219307069233627
"alpha1",-0.106668458992358,0.0804093750294787,-1.32656744258058,0.184651811649562
"beta1",0.952859881614699,0.0354396570874813,26.886825661507,0
"gamma1",0.512153659515915,0.159996733145896,3.20102572999974,0.00136939303305716
"shape",3.65508137696991,1.21691226457689,3.00357016965454,0.00266832009161222
