"","Date","Univariate","Multivariate"
"1",2020-01-03,0.0330269066341293,0.0330271835063906
"2",2020-01-06,0.031219150439544,0.0310198739554002
"3",2020-01-07,0.0289535780961729,0.0278804824525707
"4",2020-01-08,0.0263776351956961,0.0245437240324336
"5",2020-01-09,0.0243873071120834,0.0221836861759952
"6",2020-01-10,0.0246074900784059,0.0219390760545807
"7",2020-01-13,0.0268953298043339,0.0238031229777523
"8",2020-01-14,0.0292631843716773,0.0257554132581369
"9",2020-01-15,0.026910757910479,0.0231744937748035
"10",2020-01-16,0.0270233819759985,0.0233572147390338
"11",2020-01-17,0.0250998879813774,0.0219120673337689
"12",2020-01-20,0.0243088504466493,0.0220039244964271
"13",2020-01-21,0.0234082260225875,0.0216223516975205
"14",2020-01-22,0.0229232213755962,0.021066738499185
"15",2020-01-23,0.0217169368470791,0.0194315753111547
"16",2020-01-24,0.0216265131173559,0.019033255609892
"17",2020-01-27,0.0215510287246114,0.0187060381655536
"18",2020-01-28,0.0225340052063453,0.0194790136851127
"19",2020-01-29,0.0220287015562406,0.0187479532332774
"20",2020-01-30,0.0202559051171309,0.0169525626259961
"21",2020-01-31,0.019810266431553,0.0171196311046258
"22",2020-02-03,0.0216419037928084,0.0205383284375051
"23",2020-02-04,0.0200505452490633,0.0209169518149345
"24",2020-02-05,0.020739758954436,0.0237655057822703
"25",2020-02-06,0.0196421196042337,0.0237916270589444
"26",2020-02-07,0.018106968466403,0.0224770706249875
"27",2020-02-10,0.0169873328708612,0.0205971488023304
"28",2020-02-11,0.0159697000888214,0.0186438990472121
"29",2020-02-12,0.0148434017729735,0.0167527852981162
"30",2020-02-13,0.0156259866503673,0.016839415485349
"31",2020-02-14,0.0160428431160459,0.0167686332581656
"32",2020-02-17,0.0195614040238418,0.0200100729377402
"33",2020-02-18,0.0188618463532905,0.0191059685458917
"34",2020-02-19,0.0203061006652834,0.0209923706482523
"35",2020-02-20,0.0188004910093445,0.0205682340872251
"36",2020-02-21,0.0192770804687337,0.0223856962367284
"37",2020-02-24,0.0215348055685701,0.0259705892620262
"38",2020-02-25,0.0283386559454113,0.0332079729924708
"39",2020-02-26,0.0292588458618183,0.0335225779617808
"40",2020-02-27,0.026677039603662,0.0296914689583379
"41",2020-02-28,0.0299332341749093,0.0315987489039649
"42",2020-03-02,0.0271524167198697,0.0277396431476361
"43",2020-03-03,0.0266488093373373,0.0265239483116857
"44",2020-03-04,0.0271011868638882,0.0266340826970505
"45",2020-03-05,0.0252698162399365,0.0246969121114592
"46",2020-03-06,0.0283063046260434,0.0275815031137279
"47",2020-03-09,0.0308646911295826,0.0297377282335693
"48",2020-03-10,0.0538227047169987,0.0520007681453007
"49",2020-03-11,0.0516144092198606,0.048448572412479
"50",2020-03-12,0.0471675523645803,0.0431282226174271
"51",2020-03-13,0.0727570517970268,0.0679779192908814
"52",2020-03-16,0.0669160473285323,0.060994721611314
"53",2020-03-17,0.0737437193568429,0.0671678406626893
"54",2020-03-18,0.0658048068359895,0.0589473934283906
"55",2020-03-19,0.0669274927444179,0.0605397042983119
"56",2020-03-20,0.0656937223666441,0.0602815898563738
"57",2020-03-23,0.0589739699493641,0.0555215346604299
"58",2020-03-24,0.0611905949223478,0.0603363527792908
"59",2020-03-25,0.0657283411618477,0.0672817028518775
"60",2020-03-26,0.0684738585342897,0.0716430635464829
"61",2020-03-27,0.0631102117139106,0.0667084638559802
"62",2020-03-30,0.0733779030662427,0.0758650762610916
"63",2020-03-31,0.0688346077280998,0.0703583252672778
"64",2020-04-01,0.0688385454320142,0.0696998586442495
"65",2020-04-02,0.0867467546683628,0.0872320218687976
"66",2020-04-03,0.0785562246620534,0.0791163773012008
"67",2020-04-06,0.0761751760019571,0.0774807586027964
"68",2020-04-07,0.0758776720259105,0.0775302585438535
"69",2020-04-08,0.0715608747352275,0.0740640533263144
"70",2020-04-09,0.0655044796894643,0.0679829382209832
"71",2020-04-14,0.0633716943896384,0.0663363086771769
"72",2020-04-15,0.0649667473332864,0.067925603378314
"73",2020-04-16,0.0699494927309665,0.0723731965893818
"74",2020-04-17,0.062952292907709,0.0646692028373903
"75",2020-04-20,0.0597146344950564,0.059679975551882
"76",2020-04-21,0.054307801816874,0.0528849907151675
"77",2020-04-22,0.0534391846131495,0.0510868725712958
"78",2020-04-23,0.0504277309513812,0.0475419991164788
"79",2020-04-24,0.0471051050860735,0.0444881929133137
"80",2020-04-27,0.0458202157011985,0.0439026766223442
"81",2020-04-28,0.0442491185361864,0.0433354233716221
"82",2020-04-29,0.0502650501150787,0.0501213005090548
"83",2020-04-30,0.0501676922669141,0.0501083752514924
"84",2020-05-01,0.0599060238867486,0.0591960037799549
"85",2020-05-04,0.0556826011288869,0.0542266005621813
"86",2020-05-05,0.0555154650408157,0.0531899200253097
"87",2020-05-06,0.0495490660071554,0.0465712803352777
"88",2020-05-07,0.0460875488364421,0.0424854275088939
"89",2020-05-11,0.0456198416663471,0.0416315916194296
"90",2020-05-12,0.0456073191481198,0.0412356382758103
"91",2020-05-13,0.0434836349949915,0.0391217060757648
"92",2020-05-14,0.0440944474086889,0.0404091464599592
"93",2020-05-15,0.0414354878992121,0.0385034659108556
"94",2020-05-18,0.0372903846757652,0.0350120331649339
"95",2020-05-19,0.0386149588068131,0.0362568251719328
"96",2020-05-20,0.0347570797561033,0.0320141489216716
"97",2020-05-21,0.032737062567792,0.0296213162567659
"98",2020-05-22,0.0397767415262579,0.0362023030288983
"99",2020-05-26,0.0369155629334797,0.0329866651572958
