""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.000287485269713372,0.000981109946074811,-0.293020441657465,0.769506526945209
"omega",-0.293898808254109,0.0258296336758432,-11.3783575850313,0
"alpha1",-0.0918825983434797,0.0476997128370191,-1.92627151986061,0.054070479626487
"beta1",0.968342943536167,0.000913902734027183,1059.568931662,0
"gamma1",0.0848133164079089,0.0159107834699282,5.33055563028735,9.79127339206798e-08
"vxreg1",1.75537993050918,1.80871254859385,0.970513491419003,0.331790603349135
"shape",8.16237403332933,3.8173562047248,2.13822698107833,0.0324983255621036
