""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.00312545297420536,0.00144504736735574,-2.16287233540625,0.0305510000832676
"omega",-0.34844365727939,0.202141495523009,-1.72376115244348,0.084750970283201
"alpha1",-0.0828926085530909,0.068858869973799,-1.20380436949709,0.228665200458907
"beta1",0.959091173605226,0.0250061751823232,38.3541731837184,0
"gamma1",0.322924549111799,0.110697667367905,2.91717573450355,0.0035321670362396
"vxreg1",5.22783873039644,4.23474772746436,1.23451007399837,0.217012895190717
"shape",3.43849600782691,1.09263577703105,3.14697365774543,0.00164969823556205
