""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.000179557847917324,0.00124492630381783,-0.144231708629395,0.885317502852124
"omega",-0.281558522480907,0.10755681890726,-2.61776543171733,0.00885076231029136
"alpha1",-0.0718423743181029,0.0678663884616353,-1.05858549344666,0.289788596361242
"beta1",0.959507986428184,0.0144957434771847,66.1923955772522,0
"gamma1",0.190401494603595,0.111681503275196,1.70486149469553,0.0882202592328678
"shape",2.90617998645819,0.87488421865266,3.32178810006857,0.00089442591618405
