""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.000557330226234612,0.000952780181034173,-0.584951531663548,0.558580307271045
"omega",-0.363677576332268,0.0539759126322178,-6.73777540011787,1.60829127793249e-11
"alpha1",-0.0968305245039492,0.0485365394661742,-1.99500264272923,0.0460425916336622
"beta1",0.956539685449991,0.00663296098305211,144.210057603843,0
"gamma1",0.11819159680548,0.053038933706847,2.22839315471046,0.02585430917207
"shape",7.97185417739939,3.67121293851739,2.17144968458811,0.0298971966477553
