""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.000165008861152562,0.00124779979930162,-0.132239852294347,0.894794580323918
"omega",-0.392208045107514,0.169910011841307,-2.30832804292798,0.0209808978477359
"alpha1",-0.0579266920996421,0.0681796879935094,-0.849618028541824,0.395537485303378
"beta1",0.949782082370762,0.0205046146639216,46.3204063055098,0
"gamma1",0.190676293250018,0.106644289005553,1.78796534749357,0.0737815987132551
"vxreg1",2.93143525330696,3.34976446974269,0.875116826805479,0.381510342321305
"shape",3.03986942133266,0.945763933174201,3.21419469986571,0.001308109407127
