"","Date","returns","volForecast","shortProb","shortSD","week","scaleFactor","scaledVolatility"
"24",2020-02-04,0.00560893688258535,0.0138292376914406,0.0105826787858802,"Mean","2022-08-04",-0.00050871834333634,0.0133205193481043
"25",2020-02-05,-0.00802238804775257,0.0137988904617958,0.0126568889120727,"Mean","2022-08-05",-0.00050871834333634,0.0132901721184595
"26",2020-02-06,0.0242699194414415,0.0137765238354779,0.0199525312328839,"Mean","2022-08-06",-0.00050871834333634,0.0132678054921416
"27",2020-02-07,0.00157114377959822,0.0138588786846713,0.0346146155384308,"SD","2022-08-07",0.00101743668667268,0.0148763153713439
"28",2020-02-10,0.00781853453366388,0.0138228122948474,0.0699429344900251,"SD*3","2022-08-08",0.00305231006001804,0.0168751223548655
"29",2020-02-11,-0.0117509870210117,0.013800798047261,0.0803172698793574,"SD*3","2022-08-09",0.00305231006001804,0.016853108107279
"30",2020-02-12,0.0109719817340057,0.0137951681021295,0.0731387055922148,"SD*3","2022-08-10",0.00305231006001804,0.0168474781621476
"31",2020-02-13,-0.0176925682446694,0.0137844756488327,0.0461600801532815,"SD*2","2022-08-11",0.00203487337334536,0.015819349022178
"32",2020-02-14,0.0145701835321725,0.0138220559246085,0.0163783335286966,"Mean","2022-08-12",-0.00050871834333634,0.0133133375812721
"33",2020-02-17,0.00623514555754667,0.0138287499293025,0.00906945047772055,"Mean","2022-08-13",-0.00050871834333634,0.0133200315859661
"34",2020-02-18,-0.00350258351141708,0.0137987426890602,0.00710744947784636,"Mean","2022-08-14",-0.00050871834333634,0.0132900243457238
"35",2020-02-19,0.000389822666367223,0.013765051971012,0.00969124356946792,"Mean","2022-08-15",-0.00050871834333634,0.0132563336276757
"36",2020-02-20,-0.00664701023341951,0.0137302097878118,0.0170647688644089,"Mean","2022-08-16",-0.00050871834333634,0.0132214914444755
"37",2020-02-21,0.00313348782507372,0.0137051758295598,0.0310062764630675,"SD","2022-08-17",0.00101743668667268,0.0147226125162325
"38",2020-02-24,-0.025348073475703,0.0136726199239669,0.0387195288215084,"SD*2","2022-08-18",0.00203487337334536,0.0157074932973123
"39",2020-02-25,-0.0255954998634396,0.0137789319301953,0.0364221450004293,"SD","2022-08-19",0.00101743668667268,0.014796368616868
"40",2020-02-26,-0.00660596009438041,0.0138833062930388,0.0322960617960441,"SD","2022-08-20",0.00101743668667268,0.0149007429797115
"41",2020-02-27,-0.0440378500642407,0.0138598971689099,0.0292158317105052,"SD","2022-08-21",0.00101743668667268,0.0148773338555826
"42",2020-02-28,-0.0108812603546689,0.0142348223056794,0.0170219924269114,"Mean","2022-08-22",-0.00050871834333634,0.0137261039623431
"43",2020-03-02,-0.0013137908233789,0.0142206593339688,0.013135511035931,"Mean","2022-08-23",-0.00050871834333634,0.0137119409906324
"44",2020-03-03,0.0297886029871597,0.0141792393971779,0.0123932432764784,"Mean","2022-08-24",-0.00050871834333634,0.0136705210538416
"45",2020-03-04,0.0239557707322886,0.0143145755232502,0.00924708372692459,"Mean","2022-08-25",-0.00050871834333634,0.0138058571799138
"46",2020-03-05,0.000414935266086935,0.0143871246014452,0.00664226129133148,"Mean","2022-08-26",-0.00050871834333634,0.0138784062581089
"47",2020-03-06,-0.00124612329977758,0.0143427591253228,0.00636945781575392,"Mean","2022-08-27",-0.00050871834333634,0.0138340407819864
"48",2020-03-09,-0.000415452756373114,0.0142979407265894,0.00489902019596081,"Mean","2022-08-28",-0.00050871834333634,0.0137892223832531
"49",2020-03-10,0.00663049774148483,0.0142539482993388,0.00609365306425894,"Mean","2022-08-29",-0.00050871834333634,0.0137452299560025
"50",2020-03-11,-0.0421823363982137,0.0142168176555945,0.00507215630044723,"Mean","2022-08-30",-0.00050871834333634,0.0137080993122582
"51",2020-03-12,-0.0943630160956515,0.0145388487768149,0.00465909033032818,"Mean","2022-08-31",-0.00050871834333634,0.0140301304334786
"52",2020-03-13,0.0412767302579153,0.016164385844431,0.00561560161835229,"Mean","2022-09-01",-0.00050871834333634,0.0156556675010947
"53",2020-03-16,-0.0164915503698433,0.0163457755571193,0.00594426569231608,"Mean","2022-09-02",-0.00050871834333634,0.015837057213783
"54",2020-03-17,0.042501721469467,0.0163331714756855,0.00523040463889503,"Mean","2022-09-03",-0.00050871834333634,0.0158244531323492
"55",2020-03-18,0.0118813809966314,0.0165826009336317,0.00560664925294312,"Mean","2022-09-04",-0.00050871834333634,0.0160738825902953
"56",2020-03-19,-0.0109962371833943,0.0165292043145121,0.0200829399337524,"Mean","2022-09-05",-0.00050871834333634,0.0160204859711757
"57",2020-03-20,-0.0346493472991458,0.0164587021709405,0.0297932250284637,"SD","2022-09-06",0.00101743668667268,0.0174761388576132
"58",2020-03-23,-0.0287989221352225,0.0165992171383084,0.0333106366700758,"SD","2022-09-07",0.00101743668667268,0.0176166538249811
"59",2020-03-24,0.0214461452305201,0.0166683406511952,0.024832680522719,"Mean","2022-09-08",-0.00050871834333634,0.0161596223078589
"60",2020-03-25,0.0214472407013533,0.0166451375403311,0.013411195311958,"Mean","2022-09-09",-0.00050871834333634,0.0161364191969948
"61",2020-03-26,0.0557530066425356,0.0166337199787248,0.0105360987603144,"Mean","2022-09-10",-0.00050871834333634,0.0161250016353885
"62",2020-03-27,-0.00685533753711987,0.0170976762004702,0.014612325761798,"Mean","2022-09-11",-0.00050871834333634,0.0165889578571338
"63",2020-03-30,0.00214719769887761,0.0170126933844078,0.0122281623339902,"Mean","2022-09-12",-0.00050871834333634,0.0165039750410714
"64",2020-03-31,-0.018619048784708,0.0169281628364079,0.0110079580600571,"Mean","2022-09-13",-0.00050871834333634,0.0164194444930716
"65",2020-04-01,-0.023884369688794,0.0169074010618208,0.0160171158801621,"Mean","2022-09-14",-0.00050871834333634,0.0163986827184845
"66",2020-04-02,-0.020805913347151,0.0169259208220828,0.0178800398112468,"Mean","2022-09-15",-0.00050871834333634,0.0164172024787465
"67",2020-04-03,0.0230414337879035,0.0169313939411092,0.0199839813458073,"Mean","2022-09-16",-0.00050871834333634,0.0164226755977729
"68",2020-04-06,-0.0103254522952181,0.0169253417085843,0.0197580790557912,"Mean","2022-09-17",-0.00050871834333634,0.0164166233652479
"69",2020-04-07,0.011664457693084,0.0168593401769011,0.0256465363853004,"Mean","2022-09-18",-0.00050871834333634,0.0163506218335648
"70",2020-04-08,-0.00581538442052754,0.0168005886244715,0.0248165056254286,"Mean","2022-09-19",-0.00050871834333634,0.0162918702811352
"71",2020-04-09,0.0400141788052517,0.0167218323264313,0.0219770253599553,"Mean","2022-09-20",-0.00050871834333634,0.0162131139830949
"72",2020-04-14,0.0132737945877404,0.0169166170214592,0.0131770880846872,"Mean","2022-09-21",-0.00050871834333634,0.0164078986781228
"73",2020-04-15,-0.0106908940364585,0.0168582571263141,0.0149298537965596,"Mean","2022-09-22",-0.00050871834333634,0.0163495387829778
"74",2020-04-16,0.013663694544638,0.0167873345851712,0.0152548725227632,"Mean","2022-09-23",-0.00050871834333634,0.0162786162418349
"75",2020-04-17,0.00970696274127025,0.0167334030516976,0.0132640138638939,"Mean","2022-09-24",-0.00050871834333634,0.0162246847083612
"76",2020-04-20,-0.0118295479787793,0.0166648970968603,0.00991853061298903,"Mean","2022-09-25",-0.00050871834333634,0.016156178753524
"77",2020-04-21,-0.0076792193212647,0.0166090793723712,0.00720194944062034,"Mean","2022-09-26",-0.00050871834333634,0.0161003610290348
"78",2020-04-22,0.0278733913572777,0.0165389894379124,0.00882320143840973,"Mean","2022-09-27",-0.00050871834333634,0.0160302710945761
"79",2020-04-23,-0.0227473999023022,0.0165867199341042,0.0221464658474955,"Mean","2022-09-28",-0.00050871834333634,0.0160780015907678
"80",2020-04-24,0.00594728327554694,0.0165979371558136,0.0358055932911111,"SD","2022-09-29",0.00101743668667268,0.0176153738424862
"81",2020-04-27,-0.00339405540925775,0.016523037597226,0.0355347499754235,"SD","2022-09-30",0.00101743668667268,0.0175404742838987
