"","Date","Univariate","Multivariate"
"1",2020-01-03,0.0260673515735937,0.0260677382088142
"2",2020-01-06,0.0247968403896618,0.0246328023388344
"3",2020-01-07,0.0242906164520309,0.0239638784316963
"4",2020-01-08,0.0234503905704048,0.0231782354531574
"5",2020-01-09,0.0226811296146622,0.0224519029882922
"6",2020-01-10,0.0234053715033382,0.0232954205542187
"7",2020-01-13,0.0225470121107448,0.0222515929814607
"8",2020-01-14,0.0215219564493283,0.0212320455316138
"9",2020-01-15,0.0224829404833317,0.0223460015706744
"10",2020-01-16,0.0219880955418326,0.0218408393098437
"11",2020-01-17,0.0228853086865024,0.0224165830096837
"12",2020-01-20,0.0228797862027449,0.0220684472461181
"13",2020-01-21,0.0220619850594973,0.0210291372089568
"14",2020-01-22,0.0211333238099574,0.0198984264056871
"15",2020-01-23,0.0220752561619319,0.020524095108555
"16",2020-01-24,0.0216583585775003,0.0200220488594863
"17",2020-01-27,0.0215716568715176,0.0198683099564047
"18",2020-01-28,0.022454233471194,0.0205235199432617
"19",2020-01-29,0.0223212492731034,0.0203561504646041
"20",2020-01-30,0.0221395391166038,0.0199907822599942
"21",2020-01-31,0.0258537329816386,0.023354972653814
"22",2020-02-03,0.0254464997517203,0.0227956375166897
"23",2020-02-04,0.0247553344541951,0.0222466778857667
"24",2020-02-05,0.0237051540136564,0.0212697072029032
"25",2020-02-06,0.0264182876176205,0.0239964040804377
"26",2020-02-07,0.0266352052296985,0.0247327236967823
"27",2020-02-10,0.026018392870808,0.0246536433005173
"28",2020-02-11,0.027291091962993,0.0262243471542852
"29",2020-02-12,0.0259765182183058,0.0252052226382697
"30",2020-02-13,0.0255379772718196,0.0249148104391232
"31",2020-02-14,0.0249589707897858,0.0241451272228125
"32",2020-02-17,0.0251636925773851,0.0240344558854027
"33",2020-02-18,0.0243278371488038,0.023066265907651
"34",2020-02-19,0.0247496336486679,0.0235324963398491
"35",2020-02-20,0.0237245759376573,0.0223975355682729
"36",2020-02-21,0.0232256182765361,0.0217696600708811
"37",2020-02-24,0.0222148194523932,0.0207033295503206
"38",2020-02-25,0.0249261832493508,0.0231517470327899
"39",2020-02-26,0.0269206783414626,0.0248511550803329
"40",2020-02-27,0.0261215597710878,0.0239362796912994
"41",2020-02-28,0.0297352961068762,0.0275013265844484
"42",2020-03-02,0.0347530614893085,0.0326754462143669
"43",2020-03-03,0.033313029456055,0.03188352333274
"44",2020-03-04,0.0313107227370178,0.0307043607290356
"45",2020-03-05,0.032084924261641,0.0327255835766774
"46",2020-03-06,0.0307117322900469,0.032238062618023
"47",2020-03-09,0.0329568114781289,0.0351088717789127
"48",2020-03-10,0.0451675359768036,0.0470885611017825
"49",2020-03-11,0.0443527347378246,0.047393473883601
"50",2020-03-12,0.0458254305407367,0.0495760587110359
"51",2020-03-13,0.060300217146287,0.0628831952890468
"52",2020-03-16,0.0558998166794103,0.0585098665932521
"53",2020-03-17,0.0604862371015465,0.0624235005688861
"54",2020-03-18,0.0608529852057748,0.0626234803266353
"55",2020-03-19,0.0561501239811795,0.0569625673929905
"56",2020-03-20,0.0560440579342415,0.0563390760692896
"57",2020-03-23,0.0553378752017342,0.0543015485839954
"58",2020-03-24,0.0534842892828927,0.0514728398742661
"59",2020-03-25,0.0498175507182649,0.0472087794930931
"60",2020-03-26,0.0489556753474059,0.0463547567299745
"61",2020-03-27,0.0483515958092403,0.0457800150091962
"62",2020-03-30,0.0530211961095423,0.0496861999867638
"63",2020-03-31,0.0507199656964597,0.047140669031154
"64",2020-04-01,0.0482719094607926,0.044635407935592
"65",2020-04-02,0.0485147712764565,0.0449841032010225
"66",2020-04-03,0.0452492089610836,0.0420493414577984
"67",2020-04-06,0.042354897368488,0.0395403112811516
"68",2020-04-07,0.0421951800569341,0.0401265505726025
"69",2020-04-08,0.0401758995716928,0.0383819237851057
"70",2020-04-09,0.0430398724214659,0.0412372473962879
"71",2020-04-14,0.0411147594024883,0.0395602967157015
"72",2020-04-15,0.0394209087463504,0.0377465045592335
"73",2020-04-16,0.0414627136795168,0.0396514437909686
"74",2020-04-17,0.0395512656313823,0.0375002425392427
"75",2020-04-20,0.037800494093483,0.0357297546934015
"76",2020-04-21,0.0364254602176807,0.0343844798641786
"77",2020-04-22,0.0404156877878669,0.0378613008840969
"78",2020-04-23,0.0383946828328473,0.0356938868682394
"79",2020-04-24,0.0361317035779145,0.0333588348802382
"80",2020-04-27,0.0346710940485767,0.0318106512973512
"81",2020-04-28,0.0332856816927167,0.0302772971695465
"82",2020-04-29,0.0324164364849077,0.029298390294856
"83",2020-04-30,0.0334503591981905,0.0304944279406914
"84",2020-05-01,0.0394953187842335,0.0358396242015991
"85",2020-05-04,0.038812853340023,0.0347887315189384
"86",2020-05-05,0.0370254664444163,0.0327517504986468
"87",2020-05-06,0.0360824621468628,0.0318328845636524
"88",2020-05-07,0.0338476037754521,0.0295346817711569
"89",2020-05-11,0.0319559773083154,0.0277059266380339
"90",2020-05-12,0.0301212267019985,0.02594299476913
"91",2020-05-13,0.0335206980869611,0.0302443438816034
"92",2020-05-14,0.0329032436889906,0.0295935370721229
"93",2020-05-15,0.032973953517111,0.0297017881801251
"94",2020-05-18,0.0316843455814525,0.0287275139415482
"95",2020-05-19,0.0321944644541931,0.0296414715475306
"96",2020-05-20,0.0307679487491871,0.0282723596401201
"97",2020-05-21,0.0293481863806822,0.0269140072407044
"98",2020-05-22,0.0286681710152702,0.0263994903619221
"99",2020-05-26,0.0276314572080574,0.0255634669805024
"100",2020-05-27,0.0272287879005057,0.0253516940825477
