"","Date","returns","volForecast","shortProb","shortSD","week","scaleFactor","scaledVolatility"
"1",2020-01-03,-0.00293197022124048,0.0159040291336574,0.001999600079984,"SD","2022-07-12",0.0189700652851357,0.0348740944187931
"2",2020-01-06,-0.00500378642797727,0.0152461054607529,0.00399920015996801,"SD","2022-07-13",0.0189700652851357,0.0342161707458886
"3",2020-01-07,-0.00118085954299563,0.0150041593923782,0.00266613343997867,"SD","2022-07-14",0.0189700652851357,0.0339742246775139
"4",2020-01-08,-0.0130838248940712,0.0147995752597078,0.001999600079984,"SD","2022-07-15",0.0189700652851357,0.0337696405448435
"5",2020-01-09,-0.00389846543031513,0.0157406061377536,0.00333266679997334,"SD","2022-07-16",0.0189700652851357,0.0347106714228893
"6",2020-01-10,0.0293135674085558,0.0151490683406758,0.00266613343997867,"SD","2022-07-17",0.0189700652851357,0.0341191336258115
"7",2020-01-13,-0.00409327156137174,0.0190934167550282,0.0023995200959808,"SD","2022-07-18",0.0189700652851357,0.0380634820401639
"8",2020-01-14,-0.0103079109208544,0.0166512111164282,0.00586549356795307,"Mean","2022-07-19",-0.00948503264256787,0.00716617847386034
"9",2020-01-15,-0.00296500185118642,0.0161575777482319,0.00885537178278629,"Mean","2022-07-20",-0.00948503264256787,0.00667254510566406
"10",2020-01-16,0.00473957015459359,0.0153007290723253,0.0168855117865316,"Mean","2022-07-21",-0.00948503264256787,0.00581569642975743
"11",2020-01-17,0.000886136900647649,0.0150212244651218,0.0229287475838165,"SD","2022-07-22",0.0189700652851357,0.0339912897502575
"12",2020-01-20,-0.00236491261724137,0.0148098267123871,0.0234498554834488,"SD","2022-07-23",0.0189700652851357,0.0337798919975229
"13",2020-01-21,-0.017012699149384,0.0147459027447077,0.0206322371889258,"SD","2022-07-24",0.0189700652851357,0.0337159680298434
"14",2020-01-22,-0.000602363217795165,0.01635032205574,0.0177913135321653,"Mean","2022-07-25",-0.00948503264256787,0.00686528941317217
"15",2020-01-23,-0.0228493693305047,0.0153596653694541,0.00592189254456801,"Mean","2022-07-26",-0.00948503264256787,0.00587463272688621
"16",2020-01-24,0.00522532140685161,0.0179445376897951,0.00309029103270255,"SD","2022-07-27",0.0189700652851357,0.0369146029749308
"17",2020-01-27,0.00854684063062994,0.0163037098033097,0.002614861643056,"SD","2022-07-28",0.0189700652851357,0.0352737750884454
"18",2020-01-28,-0.033063412397941,0.0156581305582588,0.00335830269843467,"SD","2022-07-29",0.0189700652851357,0.0346281958433945
"19",2020-01-29,0.0223680586139929,0.0202688996041703,0.00373551663293715,"SD","2022-07-30",0.0189700652851357,0.0392389648893061
"20",2020-01-30,0.0338300009456214,0.0196071033818103,0.00300892202511878,"SD","2022-07-31",0.0189700652851357,0.038577168666946
"21",2020-01-31,0.000890609104621021,0.0219419905448875,0.0030493901219756,"SD","2022-08-01",0.0189700652851357,0.0409120558300232
"22",2020-02-03,-0.00595250107760226,0.0179748914078493,0.00420428734765867,"SD","2022-08-02",0.0189700652851357,0.036944956692985
"23",2020-02-04,0.00773134757518257,0.0163047843179779,0.0110811171099113,"Mean","2022-08-03",-0.00948503264256787,0.00681975167540999
"24",2020-02-05,0.0149935567917403,0.0157686786218756,0.0217663977086006,"SD","2022-08-04",0.0189700652851357,0.0347387439070114
"25",2020-02-06,0.00174928564310051,0.016255379694136,0.0288782823145516,"SD*2","2022-08-05",0.0379401305702715,0.0541955102644075
"26",2020-02-07,0.0101436051835737,0.0153547104472865,0.0357195227621142,"SD*2","2022-08-06",0.0379401305702715,0.053294841017558
"27",2020-02-10,-0.00956106347300079,0.0154974470024794,0.0310337932413517,"SD*2","2022-08-07",0.0379401305702715,0.0534375775727509
"28",2020-02-11,0.00725151343530239,0.015505719260839,0.0260859509009879,"SD","2022-08-08",0.0189700652851357,0.0344757845459747
"29",2020-02-12,0.00719969196875159,0.0153427973800107,0.0213461581188036,"SD","2022-08-09",0.0189700652851357,0.0343128626651464
"30",2020-02-13,0.0028651551137413,0.0152030143836148,0.0140145131146931,"Mean","2022-08-10",-0.00948503264256787,0.00571798174104697
"31",2020-02-14,-0.0462611248609708,0.014949356962237,0.0100454217456904,"Mean","2022-08-11",-0.00948503264256787,0.00546432431966911
"32",2020-02-17,0.0145769054986866,0.024693802680521,0.00602476907215959,"Mean","2022-08-12",-0.00948503264256787,0.0152087700379531
"33",2020-02-18,0.00852832588345631,0.0205198749489319,0.0048913294264224,"SD","2022-08-13",0.0189700652851357,0.0394899402340676
"34",2020-02-19,-0.0117819757131326,0.0175385355448467,0.00382780586739795,"SD","2022-08-14",0.0189700652851357,0.0365086008299824
"35",2020-02-20,-0.019145314951321,0.0165192038324096,0.00363695376866656,"SD","2022-08-15",0.0189700652851357,0.0354892691175453
"36",2020-02-21,0.00361775551673471,0.0174534987604127,0.00401919616076784,"SD","2022-08-16",0.0189700652851357,0.0364235640455484
"37",2020-02-24,-0.0290052820082769,0.0159257345264714,0.00713157861038629,"Mean","2022-08-17",-0.00948503264256787,0.00644070188390355
"38",2020-02-25,-0.0270032352859593,0.0193809569798536,0.0093049571903801,"Mean","2022-08-18",-0.00948503264256787,0.00989592433728569
"39",2020-02-26,-0.0307020875427702,0.0203131115417502,0.0153730394741016,"Mean","2022-08-19",-0.00948503264256787,0.0108280788991823
"40",2020-02-27,0.011746084305579,0.0211885124747933,0.0149953202636784,"Mean","2022-08-20",-0.00948503264256787,0.0117034798322254
"41",2020-02-28,-0.0262914424362615,0.0181860670933238,0.0142103711389854,"Mean","2022-08-21",-0.00948503264256787,0.00870103445075594
