"","Date","Univariate","Multivariate"
"2020-11-20",2020-11-20,0.0130602959763432,0.0129497048140817
"2020-11-23",2020-11-23,0.0140344413900296,0.0136601981607618
"2020-11-24",2020-11-24,0.0153162774452228,0.014952710883055
"2020-11-25",2020-11-25,0.015834881112675,0.015199361689834
"2020-11-26",2020-11-26,0.0159597365518291,0.0151965314277026
"2020-11-27",2020-11-27,0.016233532548547,0.0152355976921131
"2020-11-30",2020-11-30,0.0169719496393148,0.0157247804051428
"2020-12-01",2020-12-01,0.0172254771664916,0.015908539899638
"2020-12-02",2020-12-02,0.0173816245302003,0.0159870270885157
"2020-12-03",2020-12-03,0.0168203698907673,0.0152743837667579
"2020-12-04",2020-12-04,0.0176478520966379,0.0161345332725603
"2020-12-07",2020-12-07,0.0179435183567668,0.0163826995847108
"2020-12-08",2020-12-08,0.0187210739861239,0.0169190751975092
"2020-12-09",2020-12-09,0.0188459029987097,0.0169911722228413
"2020-12-10",2020-12-10,0.0186052758798585,0.0166596646497695
"2020-12-11",2020-12-11,0.0207028149081055,0.0184622286953544
"2020-12-14",2020-12-14,0.0199158805518345,0.0175398749090596
"2020-12-15",2020-12-15,0.0202305303193981,0.017673318510797
"2020-12-16",2020-12-16,0.0197466380610062,0.0171252597253093
"2020-12-17",2020-12-17,0.0249086033929942,0.021903153338488
"2020-12-18",2020-12-18,0.0239128812990018,0.0207764167169457
"2020-12-21",2020-12-21,0.027172935236119,0.0236684597757923
"2020-12-22",2020-12-22,0.0259007366718831,0.0222374490000986
"2020-12-23",2020-12-23,0.0251593030844568,0.0214537557951145
"2020-12-24",2020-12-24,0.0240263368723328,0.020249273038653
"2020-12-29",2020-12-29,0.0229557282101833,0.0191344842078865
"2020-12-30",2020-12-30,0.022868732788658,0.0189646869122138
