""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",-0.00310842940975821,0.00144691690763725,-2.14831231382467,0.0316889533257068
"omega",-0.219756287378692,0.171830946207107,-1.27890983684523,0.200928808239282
"alpha1",-0.0838330421905605,0.0702133675763659,-1.19397552181757,0.232487543359022
"beta1",0.96601103475926,0.0242346622594411,39.8607178601357,0
"gamma1",0.323568771908455,0.117804011173192,2.74667024226155,0.00602036318894439
"shape",3.26376523395456,1.1591341874195,2.81569232395815,0.00486722548363261
